Feature,Chi2_Score,F_Score,RF_Importance,Abs_Correlation,Chi2_Score_Normalized,F_Score_Normalized,RF_Importance_Normalized,Abs_Correlation_Normalized,Average_Score
PAIa15-R1,454717.7145427629,22.420098987551075,0.001859361556036001,0.008178622659121334,0.0003389145591397598,0.00207997819826515,0.010286800162434537,0.0426906929334527,0.013849096463323036
PAIa15-2,444360.78721333656,22.028118039152353,0.0017638586093427174,0.008175955669888352,0.000331195233121576,0.0020433709153560562,0.009257462114603196,0.04267637715606425,0.013577101354786271
PAIa17-1,178756.11950559344,13.240067519690992,0.002754067229029663,0.0060492566955983275,0.00013323217354094984,0.001222650793881954,0.019930006186020935,0.031260752109044,0.01313666031562196
CI3a12-2,7233623.60076371,256.8046937474428,0.0029661935384365386,0.00022546613029836212,0.0053914347630469005,0.023969264412198637,0.02221631973736915,0.0,0.012894254728153672
CI4a22-1,509241.3762436989,9.53006890791847,0.004532072311994347,0.0023163913772337886,0.00037955266607895356,0.0008761722996380085,0.03909348065985914,0.011223600005887794,0.012893201407865974
PAIa17-3,176681.01179484214,13.265319091631579,0.002641952865123505,0.006072720216320291,0.00013168553403749165,0.0012250090499188982,0.018721629015757836,0.03138669882650755,0.012866255606555443
PAIa17-R3,246600.46967709396,17.949786369158417,0.0023416970991623222,0.006213549560012989,0.00018379858583754397,0.0016624936256549204,0.015485449456008991,0.032142637961593876,0.012368594907273833
CI2a22-3,505050.9730183494,10.20561348463379,0.00407551619678628,0.002457658395325027,0.0003764294339063944,0.0009392617215564605,0.03417268400776188,0.011981888475264884,0.011867565909622405
PAIa17-R1,177862.36681371555,13.244418563464475,0.002039525655415071,0.006067095110639311,0.0001325660330739184,0.0012230571398817185,0.01222862257488567,0.03135650456860822,0.011235187579112382
PAIa17-2,172667.28834416525,12.918241710701462,0.0018153624148425163,0.006030999279547785,0.00012869398655655353,0.00119259533204062,0.009812574060827327,0.03116275054959432,0.010574153482254704
PTIa33,6003445.377715059,253.37938930334718,0.0021504655555122094,0.0003646470661002944,0.004474546340242012,0.023649373638560227,0.013424341284585162,0.0007470908652404245,0.010573838032156956
CI3a23-3,2061811.879364372,255.54275030875715,0.0020727169035234263,0.0005874280300957555,0.001536729645177052,0.023851410928084276,0.012586360380009778,0.0019429272216457403,0.009979357043729212
PTIa32,11366769.128461672,247.76426651038707,0.0009904858303858928,0.0012948055087038436,0.008471991070345625,0.023124974711798855,0.0009219912825466364,0.005739964865486395,0.009564730482544378
CI2a32-1,86537.94645085125,2.013626348203917,0.0035961970515221067,0.0015802027730678814,6.449922602008736e-05,0.00017420823639089075,0.029006545680544074,0.007271910946625037,0.009129291022395023
CI2a22-1,526665.5871497822,10.273130319771298,0.0030537503667564803,0.002447620107971531,0.0003925394487718762,0.0009455671501623714,0.023160013914959286,0.01192800528543544,0.009106531449832244
CI4a12-1,529245.7438014211,9.59874134333735,0.00310142197075354,0.0022929496092318285,0.0003944625162742808,0.0008825856502911589,0.02367382210092988,0.011097770051961687,0.00901216007986425
CI2a32-3,54066.92095871826,3.7794538259129347,0.002322887340166363,0.0035187730672308517,4.029760483014563e-05,0.00033911968504474763,0.015282716438071227,0.017677705030785022,0.008334959689682786
CI2a31-2,576882.3692568394,25.97076499821887,0.0032685028284278467,0.001055995430147031,0.0004299675102363128,0.002411576546856329,0.025474632335830746,0.004458087953327669,0.008193566086562763
CI2a33-1,5621417.35497135,15.316501914592713,0.0009753553647421143,0.004206028909214597,0.004189809490996961,0.0014165699668592616,0.0007589139691464061,0.021366734413083836,0.006933006960021616
CI2a33-2,4080165.986610093,20.281864294341922,0.001419655269058426,0.0033282712600828266,0.003041068999736663,0.0018802874667127425,0.005547612244911411,0.016655135674485965,0.006781026096461695
CI4a42-1,0.5465627559713145,1.7681319642397983,0.002133188554707775,0.002487301572241983,3.277219229661603e-10,0.0001512814018008922,0.01323812845140912,0.01214100614870027,0.006382604082408051
CI4a32-1,3.4741192690310694,5.145689362387874,0.0016474811963330441,0.0029116110830108752,2.509716875924598e-09,0.00046671305663208737,0.008003137475764973,0.014418600832940581,0.0057221134687636295
CI2a31-1,714548.3211715418,4.069375983356159,0.0022549299068101284,0.0015685952918050804,0.0005325740392416739,0.0003661956500437997,0.014550266035140839,0.007209604689162961,0.005664660103397319
CI4a32-2,4.579260692763294,2.9272355923250553,0.0015295644503470179,0.0029599074161266938,3.3334116528253215e-09,0.0002595306282176643,0.0067322217886323955,0.014677844306822554,0.005417400014271066
CI4a41,0.10686217428517308,0.1482513656097761,0.0028285803808777766,0.00024793520138074164,0.0,0.0,0.02073311462316083,0.00012060874328343511,0.005213430841611066
CI4a42-2,0.7172877623873187,3.0430256722734574,0.002486249714794336,0.0008398607875850752,4.5496834867364393e-10,0.0002703443175871439,0.017043448578920196,0.003297927503265515,0.005152930213685301
CI4a31,0.9489634422946751,1.1760679834168613,0.0015653376744047336,0.002378415697443566,6.276431243871018e-10,9.598827152298106e-05,0.007117788327583931,0.011556532118928153,0.0046925773364195475
CI4a33,1.5601188293545623,1.4030127808490307,0.0009249869535216392,0.002096528145842854,1.0831554139327194e-09,0.00011718275160749722,0.00021603938911319822,0.01004342535892204,0.002594162145699537
CI4a43,0.14082662805245713,1.1634055745282206,0.0015205633590115093,0.00063550282295168,2.5314717707275665e-11,9.480572327314728e-05,0.006635207339293989,0.002200981518982116,0.0022327486517159925
